	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
316842	tt0330236	movie	Sleeping Beauty	Dornröschen	0	1917	\N	64	Family,Fantasy
188254	tt0195362	short	A Trip Through Time	A Trip Through Time	0	1997	\N	1	Comedy,Fantasy,Sci-Fi
5193099	tt8835242	video	Groove Theory: Tell Me	Groove Theory: Tell Me	0	1995	\N	4	Music,Short
158244	tt0163314	movie	Szép lányok, ne sírjatok!	Szép lányok, ne sírjatok!	0	1970	\N	84	Drama,Music
959712	tt0989796	tvMovie	Besieged: The Ned Kelly Story	Besieged: The Ned Kelly Story	0	2004	\N	52	Documentary
572237	tt0592623	tvEpisode	Don't Look Down, Don't Look Back	Don't Look Down, Don't Look Back	0	1963	\N	60	Drama,Family
1582517	tt1638058	tvEpisode	Fresh and Funky	Fresh and Funky	0	2010	\N	21	Reality-TV
976236	tt1006790	tvEpisode	Ogori	Ogori	0	2005	\N	25	Adventure,Animation,Sci-Fi
2040751	tt2115310	short	Die alte Frau	Die alte Frau	0	2011	\N	29	Drama,Short
3895255	tt6045614	tvEpisode	15 Years of Terror	15 Years of Terror	0	2016	\N	54	Biography,Documentary
4593873	tt7561170	tvEpisode	TCTV: Pandamonium Night	TCTV: Pandamonium Night	0	2010	\N	4	Reality-TV
3955785	tt6180518	tvEpisode	Episode dated 6 November 2016	Episode dated 6 November 2016	0	2016	\N	53	Talk-Show
455778	tt0473570	tvMovie	Ange de feu	Ange de feu	0	2006	\N	198	Drama,Mystery,Thriller
3938599	tt6142158	short	Crash	Crash	0	2016	\N	15	Drama,Short
3962650	tt6195446	tvEpisode	Route 66	Route 66	0	2016	\N	44	Documentary
1054182	tt1087831	short	And the Award Goes To	And the Award Goes To	0	2007	\N	6	Comedy,Short
3799408	tt5832780	short	Flutter Green Forever	Flutter Green Forever	0	2016	\N	16	Action,Comedy,Short
1492660	tt1545033	video	Building the Enola Gay	Building the Enola Gay	0	2007	\N	13	Short
338782	tt0353025	video	Young as They Cum 5	Young as They Cum 5	1	2002	\N	78	Adult
2100149	tt2180445	short	L'autre côté	L'autre côté	0	2012	\N	21	Drama,Short
857188	tt0883787	tvEpisode	To Health with Yoga	To Health with Yoga	0	1953	\N	30	Comedy
4885913	tt8183306	tvEpisode	The Strongest Among Us	The Strongest Among Us	0	2018	\N	40	Action,Drama
485880	tt0504877	tvEpisode	Getting to Know You	Getting to Know You	0	2003	\N	22	Comedy,Romance
326245	tt0339891	movie	Wei hai zi men zhu fu	Wei hai zi men zhu fu	0	1953	\N	90	Drama
2645355	tt3234962	tvMiniSeries	Persons of Interest	Persons of Interest	0	2013	2014	52	Biography,Documentary,Mystery
4846889	tt8099560	short	Dream of the Lake	Dream of the Lake	0	2018	\N	30	Comedy,Drama,Fantasy
2614047	tt3162638	tvEpisode	Rescue at Rocky Ridge	Rescue at Rocky Ridge	0	2013	\N	10	Animation,Family
4218289	tt6755034	short	Verbal Harrasment	Verbal Harrasment	0	2012	\N	8	Short
365476	tt0380549	movie	Metiche y encajoso	Metiche y encajoso	0	1989	\N	85	Comedy
1736058	tt1798961	tvEpisode	Double Barrel Double/Flea and Me/Tee Vee or Not Tee Vee	Double Barrel Double/Flea and Me/Tee Vee or Not Tee Vee	0	1959	\N	30	Animation,Comedy,Family
3825451	tt5890806	short	The Killing of a Swedish Count	Att mörda en greve	0	2014	\N	8	Comedy,Mystery,Short
3181364	tt4446472	movie	Porto	Porto	0	2016	\N	76	Drama,Romance
4248709	tt6824260	short	Back to Nature	Back to Nature	0	1954	\N	9	Short
665154	tt0686804	tvEpisode	Hagen Charm	Hagen Charm	0	1962	\N	30	Adventure
4009416	tt6299180	movie	Gerçek	Gerçek	0	1974	\N	70	Crime,Romance,Thriller
411621	tt0428215	movie	Alone Across Australia	Alone Across Australia	0	2004	\N	52	Adventure,Biography,Documentary
3955762	tt6180470	short	On	On	0	2013	\N	19	Short
2640248	tt3223132	short	Wildcat from Outer Space	Wildcat from Outer Space	0	2013	\N	5	Drama,Sci-Fi,Short
247488	tt0257952	movie	Música y dinero	Música y dinero	0	1958	\N	64	Comedy,Drama,Musical
4007904	tt6295954	movie	Fukushima: Ikimomo no kiroku - Inochi	Fukushima: Ikimomo no kiroku - Inochi	0	2016	\N	91	Documentary
1520993	tt1574508	tvSeries	Planet Ajay	Planet Ajay	0	2009	\N	30	Comedy
3553865	tt5284416	short	Ormanlarin Ekonomik Degeri	Ormanlarin Ekonomik Degeri	0	1973	\N	30	Documentary,Short
79785	tt0081495	movie	Shaolin Brothers	Shao Lin xiong di	0	1977	\N	90	Action,Drama,Thriller
1030956	tt1063688	movie	Naturshchitsa	Naturshchitsa	0	2007	\N	112	Drama
1210961	tt1252326	video	Pornocide	Pornocide	1	2000	\N	85	Adult
